"player_name";"shot_distance";"intentos";"aciertos";"fgp"
"Avery Bradley";0;390;287;0.735897435897436
"Avery Bradley";1;429;261;0.608391608391608
"Avery Bradley";2;238;113;0.474789915966387
"Avery Bradley";3;65;22;0.338461538461538
"Avery Bradley";14;61;18;0.295081967213115
"Avery Bradley";15;84;38;0.452380952380952
"Avery Bradley";16;132;57;0.431818181818182
"Avery Bradley";17;206;79;0.383495145631068
"Avery Bradley";18;275;114;0.414545454545455
"Avery Bradley";19;333;139;0.417417417417417
"Avery Bradley";20;290;141;0.486206896551724
"Avery Bradley";21;186;78;0.419354838709677
"Avery Bradley";22;195;69;0.353846153846154
"Avery Bradley";23;386;140;0.362694300518135
"Avery Bradley";24;404;153;0.378712871287129
"Avery Bradley";25;342;130;0.380116959064327
"Avery Bradley";26;120;42;0.35
"DeAndre Jordan";0;1222;1032;0.844517184942717
"DeAndre Jordan";1;680;421;0.619117647058824
"DeAndre Jordan";2;529;328;0.620037807183365
"DeAndre Jordan";3;212;124;0.584905660377358
"DeAndre Jordan";4;87;26;0.298850574712644
"DeAndre Jordan";5;63;29;0.46031746031746
"Isaiah Thomas";0;381;270;0.708661417322835
"Isaiah Thomas";1;736;467;0.634510869565217
"Isaiah Thomas";2;566;294;0.519434628975265
"Isaiah Thomas";3;211;76;0.360189573459716
"Isaiah Thomas";4;150;43;0.286666666666667
"Isaiah Thomas";5;128;49;0.3828125
"Isaiah Thomas";6;141;56;0.397163120567376
"Isaiah Thomas";7;121;42;0.347107438016529
"Isaiah Thomas";8;98;40;0.408163265306122
"Isaiah Thomas";9;66;28;0.424242424242424
"Isaiah Thomas";10;83;35;0.421686746987952
"Isaiah Thomas";11;74;27;0.364864864864865
"Isaiah Thomas";12;84;33;0.392857142857143
"Isaiah Thomas";13;87;39;0.448275862068966
"Isaiah Thomas";14;109;54;0.495412844036697
"Isaiah Thomas";15;117;49;0.418803418803419
"Isaiah Thomas";16;94;39;0.414893617021277
